,Date,AAPL,ACN,ADBE,AMD,AMZN,ANET,ANTM,AVY,AWK,BA,BAC,BBY,BEN,BKR,BRK-B,CDW,CE,CMCSA,CMS,CSCO,CVS,CVX,DIS,DUK,FB,GD,GM,GOOGL,GPS,HD,HSY,IBM,INTC,JNJ,JPM,KEY,KO,KSS,LMT,MA,MRK,MSFT,MYL,NDAQ,NOC,ORCL,OXY,PEP,PFE,PG,PGR,REG,ROST,SYF,T,ULTA,UNH,UPS,V,VRTX,VTR,VZ,WFC,WMT,XOM,ZTS
898,2018-02-23,-0.16619325202755098,0.2315208191497634,-0.0688974985790099,-0.6875179016167754,0.1736486661427884,0.5601229249918462,0.10085768549900287,0.7732124149490774,-0.5515257627898303,0.7126585713279247,0.8531659821930567,0.6062829743381815,0.475680813073157,-0.4178059195857422,0.4128477253613776,-0.38098962423943455,0.2737803782790903,0.28039084371272954,-0.6808817635836419,0.28393122637589974,-0.34985401667692356,-0.061706283939026996,-0.5705938862121285,-1.0616394041582597,0.5030433104506398,1.4985660642317915,1.1766487198018083,0.2860433257524162,1.0007546414508677,0.21154450303802785,-1.0211320079719224,0.6305202157556227,0.20364415489254795,0.16266980466659225,0.6687405001764709,1.155068807314428,-0.7532903629755718,0.9392444962730123,0.6912813743267782,-0.23635481912321532,-1.4087255726171468,-0.21699652213525888,0.5998709184540709,-0.168341391355036,0.8985672971419344,0.3273150780005065,0.4230627833430544,-0.5598924001260125,-0.21514556696803025,-1.0935506844108303,-0.039049918079956614,-0.9317581702323328,-0.2072747070501143,1.2668459305624802,0.37911261031280985,-0.7393773492454282,0.1970204019385472,-0.5556859861920312,-0.21182979061266477,0.14880899939311404,-1.173490748520211,-1.102436291551167,1.5729812160685643,-0.03962974998651403,-0.0017458625656052718,-0.11948033707950945
899,2018-02-26,-0.15680057331235953,0.22080215299038397,-0.10110143515299763,-0.7162764553512277,0.1532258331644497,0.6725755408563306,0.09151794263961499,0.7543888566251762,-0.6022384052637468,0.7248528501908987,0.8564651507844198,0.5159426149881208,0.5815405074813952,-0.39049067506146495,0.6087267369502369,-0.39211650084696426,0.21718233936715203,0.24063964605628285,-0.7483052078385122,0.37066747594680394,-0.2955776547005846,0.06346602898588632,-0.44306320447834036,-1.0047523336279531,0.4855450099080738,1.6642048885730334,1.3088577459926416,0.2888092924347,0.9652198490845064,0.1545259349394137,-1.0136778055866271,0.8535530667899991,0.29691487628100244,0.11198148670621177,0.6711009086748827,1.1815413845830507,-0.8073791164146711,0.9836547617992298,0.6325412774133596,-0.26621395534187453,-1.3486951763005024,-0.23885856451272064,0.6763298096457913,-0.1642726261875309,0.8917249307933192,0.3855921229482594,0.38881808397837664,-0.5205945896531644,-0.052267571988643236,-1.098250267688777,-0.03821978560377748,-0.8705101747046449,-0.21744311263444532,1.3049723262597883,0.6047762341033966,-0.9127796430119959,0.2003770393428319,-0.28831401778333754,-0.23193917778455592,0.18429652915146122,-1.127867158774538,-0.9724876420945228,1.7506999865903305,-0.07939818131818827,0.18134125945404603,-0.16110250963425526
900,2018-02-27,-0.11637161576810867,0.2151017588395029,-0.08471348043517529,-0.656071596222133,0.1894230372137672,0.7130576747864596,0.12764240162147944,0.759187892766339,-0.5857756283602716,0.7867803748672753,0.8936504397618943,0.5079241335433023,0.46227100517652464,-0.47931855275156465,0.6310594651721164,-0.33852400624825235,0.21694010287400334,-0.2373838236789083,-0.8032404267222663,0.38850198683710513,-0.33960350741057765,0.014780694666491123,-0.7364797098524902,-1.1949827636739085,0.45434851606249205,1.5980486156024503,0.9884201628175222,0.2389318657578049,0.8120678818391147,0.12391377079964427,-0.9596313417604737,0.6975660569865914,0.4341434690272342,0.13543035803273418,0.665643990729148,1.2130488783053248,-0.8544661746222233,0.8235276242115211,0.6782073088006506,-0.239227657923562,-1.4272824543944411,-0.2183832916711978,0.5787915948106244,-0.10873091751760922,0.923707087029749,0.3612763251469576,0.315207163124776,-0.47345172822965315,-0.0842020448775791,-1.13423781926811,-0.0008197268118751433,-1.1055625718519686,-0.2724652621954058,1.1775533360796866,0.4238271941378441,-0.8071604835017039,0.2293262855150502,-0.5487142543790893,-0.2065190558040676,0.1436473421892404,-1.3310316195439653,-1.1608276788069007,1.582297136632295,-0.126060224730289,-0.0015396124920239451,-0.1635881457651407
901,2018-02-28,-0.08552976707323529,0.21087701290796634,-0.04305611794723818,-0.6533382494053558,0.22776638539536065,0.87371966202418,0.13472107454737187,0.7657325768762161,-0.5748117210792203,0.7979914150976934,0.8943622680442171,0.5970349407787685,0.37719263764405464,-0.5516821562571859,0.5887649427418802,-0.31880287850190914,0.16110721221617336,-0.2841163328771204,-0.7980073968114386,0.39715527504718073,-0.40512066215452563,-0.09675653692905986,-0.8230855949081948,-1.310295179770919,0.4154998954020724,1.5725029294586994,0.7990202307456982,0.22275779037837118,0.8351159937081516,0.09575018963267357,-0.9251724627185889,0.6320802795351146,0.4027316581092853,0.05485493049690321,0.6253067289610055,1.2298832344067911,-0.9134500833757411,0.9121863588779463,0.6290628075606142,-0.20372495497383702,-1.4413721703235782,-0.19235171973918558,0.4863421148954206,-0.12139016110837286,0.9092805732017439,0.3860586420660858,0.20792687042248065,-0.5254494982045426,-0.17826698069170202,-1.2496480923117237,-0.013197360566888472,-1.0804349350515194,-0.21012986604997524,1.0847521167785144,0.25119922698368347,-0.7742651186002019,0.16565042790273443,-0.6842243475049818,-0.17851433561433228,0.1809985097371658,-1.4049872426439447,-1.1979186249443592,1.4086345565755218,-0.18201668150418,-0.21962035122924678,-0.15388230955388216
902,2018-03-01,-0.09543491064374715,0.12887355504382925,-0.026326735005673008,-0.6206479790792454,0.2458949232980479,0.8497627934444179,0.13094112460207064,0.7275877068482229,-0.5332005107388458,0.722344906026161,0.8491824831493886,0.8056834776596862,0.3024266817403996,-0.5510668958701681,0.45636254342701466,-0.29451376442739874,0.32190150704163484,-0.17717690379294287,-0.7569360226223035,0.34328758918639535,-0.4862667308070667,-0.06041423232707871,-0.8226007951791379,-1.2391324937379011,0.40815301200516335,1.490173952128285,0.4298480518549208,0.14559436698256284,0.8179450908902537,0.08362151100983595,-0.9074480957680249,0.47795538785455155,0.2948337206503651,-0.06501928962188042,0.5900247455700178,1.2240926450241576,-0.8199277931957489,0.6546290998802919,0.487607683061379,-0.1836412136295581,-1.4452479210540807,-0.165850991637857,0.4692073922680463,-0.13135016372923375,0.8117138984594188,0.27191494360221086,0.17488983830689528,-0.5982591229110407,-0.30931078894629954,-1.1962900605753075,0.05003626148321144,-1.0545872383718315,-0.16502912146178228,0.9666954466059601,0.15550726468219975,-0.7770870845620992,0.18965419296596436,-0.4124404244403273,-0.18731602743724807,0.22232394104078335,-1.2999481792750405,-1.1112544971405942,1.1698845357593222,-0.19077177188746877,-0.313308955336706,-0.11665529237811739
903,2018-03-02,-0.08775192467418474,0.14996294618775302,0.0005290545559453741,-0.6430615229669513,0.24187646633880905,0.9270757083414389,0.1321949548083492,0.6803678231316934,-0.5606530574968668,0.6576665292135255,0.8568074534336103,0.664722893579769,0.36421894518854475,-0.5161520051432977,0.43435660849727514,-0.27580035638165046,0.3694172981601887,-0.20087397625029368,-0.7483150209574709,0.35537958597701436,-0.4526496372201487,-0.0998548520238553,-0.8066287918093804,-1.2817997706362996,0.40905795113015864,1.628642329226404,0.33234350723249834,0.18002269072066596,1.1520622686108162,0.03863136192220534,-0.8637499871398756,0.5290828909233012,0.40286022193143406,0.019278070514563816,0.5695602084051548,1.3231633247058094,-0.7672433041902905,0.9473475351748244,0.5023827955009634,-0.17827728520021568,-1.3973989970453105,-0.17641707781933014,0.5042773946792481,-0.09430645056432674,0.8455474543495227,0.3600121531189079,0.18649581220128658,-0.543894262514663,-0.2414074297005277,-1.1514225991254656,0.022754006057941756,-0.9564635336219449,-0.1597625622107015,0.9808758597309114,0.2604200892250258,-0.894902443797122,0.1855548782713986,-0.5492742776199468,-0.19467116102131643,0.31070958089158035,-1.2656066611737782,-1.0578924610364075,1.1937273173301022,-0.2237309807830115,-0.26425733068003493,-0.10355901545598833
904,2018-03-05,-0.12027474847142228,0.1402302739111505,-0.030515351616864084,-0.6792842712491697,0.23678288852501006,1.0086785757233492,0.0703869878638892,0.6198732259173492,-0.5491378127466134,0.6944260759280897,0.8889357239007332,0.7323688952252336,0.46728386526627463,-0.4380763747444528,0.45007794129086376,-0.29624350504734626,0.3996138125593758,-0.19085237835139818,-0.7196456069101074,0.3596492377285867,-0.3585037728044559,-0.006756794167101454,-0.8144049743433971,-1.005782349772595,0.455022243143713,1.643361712662823,0.3898509280255241,0.17593024934080426,1.1697014518522253,0.07212082121588825,-0.8706853366052494,0.7076588632823528,0.44243665766886425,0.03943600855175944,0.5964330366914546,1.326287239072312,-0.7686191382534715,0.9112933623709432,0.46603950680150896,-0.1755278323864528,-1.4337053158903739,-0.2065944395636557,0.5875674561666238,-0.07731118563576417,0.8253461952674911,0.4808667085866169,0.23783793205178605,-0.5580958786576884,-0.2336675997743921,-1.1309361420396324,0.04033078441616833,-0.9816781890030293,-0.22562037459068252,1.0395154683401484,0.36992815528317413,-0.8684539336180557,0.19043489886469855,-0.5200310762941818,-0.21491594385690588,0.3446411844580853,-1.1563130558303965,-0.9945103687437131,1.2399387779009239,-0.19337104997105203,-0.15446658767557386,-0.12875158559748867
905,2018-03-06,-0.12828460092395472,0.11198357084605703,-0.02626049181310719,-0.6963382714713126,0.2559637652814949,1.084154994261026,0.07660577678456026,0.6036510990852337,-0.5761822178034178,0.6514373761951782,0.880805613248784,0.8221332307013632,0.4968089107190062,-0.3991574385208404,0.48712602261727966,-0.2961254163110518,0.45199747884621005,-0.1795578409965249,-0.788319372045053,0.3302403405129556,-0.3968795185089459,0.02924520633943184,-0.7146613586118018,-1.2468362052551822,0.4350357605660051,1.6457177762949944,0.4352001868050378,0.19483627843133688,1.2384552341133759,0.06421112751860092,-0.8793436629931963,0.633971306620037,0.541007383015942,-0.066304688361846,0.5952430221108129,1.4036106265995778,-0.764160344714413,0.9680820455773254,0.4173822267035695,-0.19498562114986645,-1.4477471146363485,-0.2209020590450657,0.7197337092397537,0.03195279938058915,0.7791150981469598,0.5112829041707321,0.22307370502233437,-0.551881272632865,-0.29767701475239366,-1.1545482644859553,0.025850357107678135,-0.9441909313687701,-0.11690528547638274,1.029674078480065,0.4205269319719993,-0.8356282329315083,0.15012526222819056,-0.039186554901328,-0.2402559641553348,0.2320066253667865,-1.1860726766928886,-0.9593527244858784,1.1327162503929105,-0.25313246776006093,-0.1607127703541446,-0.14736728931517984
906,2018-03-07,-0.16136217782938944,0.12428340084253375,0.02715527100193016,-0.660289093941133,0.2667930729538257,1.117820161347737,0.060191950296807906,0.6527993438544623,-0.5569240631473075,0.6308861898009841,0.8894516676012609,0.6462795249084528,0.46482543383611924,-0.3735209968240675,0.47698190397337337,-0.2827394185374197,0.44495051256007945,-0.31692483367217683,-0.8114693374569005,0.31877959302338965,-0.40424563444618067,0.04291932323919634,-0.8080517005287824,-1.337079518292722,0.5268709594306944,1.6967241297430173,0.38655134461244245,0.24875692489103762,1.0686575957809321,-0.01265336152428953,-0.8539828657167019,0.7971255350935333,0.6049336256792771,-0.015540300490133885,0.5752236075369817,1.4897822696700391,-0.7912714231978342,0.8393009963254855,0.45616757432243626,-0.17351686995697024,-1.433643832059702,-0.20803425852369817,0.6657340483701464,0.03202582150887434,0.8466246147125377,0.5464835726857906,0.1911286078005505,-0.5342007194937347,-0.28674348671351196,-1.2178717216798973,0.013152107993473217,-0.9597109467931823,-0.34943062160493243,1.0545064269523572,0.43255384622252563,-0.8237813527064348,0.16538928957186938,-0.11178522276057151,-0.22326406646533192,0.265358945524807,-1.1084202331634803,-0.971798303984178,1.0352692701449568,-0.333722825790629,-0.36975924596839227,-0.14076817006887615
907,2018-03-08,-0.14989958261626768,0.09642162269789112,-0.004349386699707192,-0.7064698922138256,0.2529720066691161,1.1203731928983576,-0.014741153029783738,0.6155123509566574,-0.5554840107030088,0.6233335874104335,0.8680162435027065,0.5995937630493564,0.5086711501785163,-0.32518203438808,0.48331652634482714,-0.35644962247925205,0.39316725466452673,-0.20343670865918062,-0.8294960441010416,0.30871012999995584,-0.3271361583912254,-0.00871968635933379,-0.7985434705480849,-1.2492017576681098,0.46930311750464493,1.6921493476667877,0.40023069385595433,0.2796221664695514,0.9963434177758865,-0.05449779452409764,-0.8873512112620396,0.6798346933483781,0.51782200900985,0.15471276807793977,0.5499018815363329,1.419557611536298,-0.669107275545222,0.6026379543777906,0.42396618703921385,-0.1990420383120069,-1.4290173730934135,-0.21837428633567868,0.6521718497293038,0.05482393815396924,0.8150984757968385,0.5916214135780173,0.050548562335022806,-0.3895499192348832,-0.16387716339705732,-1.1800825844832667,0.01880382581197204,-0.9376657772193374,-0.383389832819525,1.1827444687551985,0.49506062286228547,-0.7570408078199637,0.09932688379075905,-0.1750151407112766,-0.2407590752592596,0.2836635858450238,-1.1678700097325563,-0.954226052179131,1.0651589559061805,-0.3464628089165033,-0.367760650297547,-0.13973818129444493
