,AAPL,ACN,ADBE,AMD,AMZN,ANET,ANTM,AVY,AWK,BA,BAC,BBY,BEN,BKR,BRK-B,CDW,CE,CMCSA,CMS,CSCO,CVS,CVX,DIS,DUK,FB,GD,GM,GOOGL,GPS,HD,HSY,IBM,INTC,JNJ,JPM,KEY,KO,KSS,LMT,MA,MRK,MSFT,MYL,NDAQ,NOC,ORCL,OXY,PEP,PFE,PG,PGR,REG,ROST,SYF,T,ULTA,UNH,UPS,V,VRTX,VTR,VZ,WFC,WMT,XOM,ZTS
10,-1.3385194096747246,-1.4311887048119134,-1.4184243951313125,-1.3401239744412918,-1.3964963621607611,-1.2740152964801428,-1.365507061606549,-1.3837331857268775,-1.3784167517314798,-1.3128205091073746,-1.3223703245602854,-1.3526330920385303,1.057127264796633,1.2580129090614494,-1.390160149478401,-1.42054368179404,-1.3208001995615326,-1.285939142857487,-1.374101550603151,-1.3416335817327465,1.1796911109878645,-0.734139098398242,-1.1027450422879008,-1.0645136061057525,-1.3439873289321167,-0.9605459453152325,-0.6186643798233515,-1.4007446598948623,0.8923622884523208,-1.4165425942017218,-1.144369369499718,0.7673977188424659,-1.3229867256765158,-1.2787554281369276,-1.3913638460631144,-0.9889769642992632,-1.2286821282231737,-0.11846381957403088,-1.3972051305533535,-1.4100889045068759,-1.2157169865397195,-1.4119789540281393,1.2235804032544282,-1.403717804370664,-1.3549944091059616,-1.2991622878702618,0.9554038157651323,-1.3252484031956706,-1.0539929699503212,-1.0987825593332534,-1.4152619812561478,0.24716978130246425,-1.3968615256393637,-0.5561150171669211,0.21332313480825488,-1.054173020524272,-1.390103844246022,-0.7313970790465962,-1.429266303455014,-1.2546638618066719,0.5616607920003861,-1.0522796245039356,0.2653700495996561,-1.268930680789117,0.9374553080044,-1.4073346135386904
11,-1.3394666224502358,-1.4322014956728952,-1.41942815323781,-1.3410723226984667,-1.3974846027388452,-1.2749168624614056,-1.3664733723857994,-1.3847123943524273,-1.3793921981447193,-1.313749535873211,-1.3233061093209149,-1.3535902924616976,1.0578753484204633,1.2589031508394977,-1.3911439061905377,-1.42154893962881,-1.321734873212045,-1.2868491468334027,-1.3750739433336363,-1.3425829982742525,1.1805259277887326,-0.734658617150065,-1.1035254076562602,-1.065266916726518,-1.3449384111195606,-0.9612256824817553,-0.6191021820696894,-1.4017359068110382,0.8929937749693612,-1.417545020638414,-1.145179190619127,0.7679407732934749,-1.323922946637777,-1.2796603485060538,-1.3923484545796958,-0.9896768208784802,-1.2295516138656555,-0.11854765133808699,-1.398193872696429,-1.4110867639441775,-1.2165772973075224,-1.4129781509724206,1.2244462786249686,-1.4047111552536635,-1.3559532805319376,-1.3000816492987466,0.9560799140671247,-1.326186224649106,-1.0547388355681224,-1.0995601206223813,-1.4162635014579856,0.2473446927552813,-1.3978500246279792,-0.5565085559121248,0.21347409444107154,-1.054919013556142,-1.3910875611133606,-0.7319146573889327,-1.4302777339150095,-1.2555517336076227,0.5620582552525744,-1.053024277660652,0.26555784060171556,-1.2698286486059405,0.9381187049172833,-1.4083305238824089
12,-1.3204349474605148,-1.4118522066883152,-1.3992603529873893,-1.322017833280418,-1.377628585189253,-1.2568023361577225,-1.3470579747420848,-1.3650378494239792,-1.3597932446818661,-1.2950832594870934,-1.3045040493349493,-1.3343579427460706,1.042844634348658,1.2410161537253137,-1.3713779797816226,-1.4013510064010983,-1.3029551379741957,-1.268565081883331,-1.35553634535416,-1.3235070445762498,1.1637525454602389,-0.7242202950630079,-1.0878460793703524,-1.050131180309768,-1.3258289907782037,-0.9475682053381282,-0.6103057318132253,-1.3818194850408192,0.8803057639295845,-1.3974039766856072,-1.1289080288032494,0.7570295650828952,-1.3051121223816615,-1.2614784248643505,-1.3725654134677583,-0.9756150986346178,-1.212081655073123,-0.11686327911615425,-1.3783277775569314,-1.3910374814734003,-1.1992916827694937,-1.3929019949218184,1.2070488584678796,-1.3847524599691778,-1.3366873565411452,-1.2816095716860225,0.942495550049572,-1.3073432428380347,-1.0397526863195135,-1.0839371327131615,-1.3961406658398445,0.24383032089707113,-1.3779888150187178,-0.5486014608135218,0.21044096952699523,-1.0399303042669537,-1.3713224352777322,-0.7215153225744836,-1.409955778503301,-1.237712354763609,0.5540723078165052,-1.0380624895333275,0.26178468908857155,-1.2517864176702436,0.9247895409093708,-1.3883204031676395
13,-1.3040646397810602,-1.3943485386235956,-1.3819127944831862,-1.3056279015157761,-1.3605492100553755,-1.2412209241580416,-1.330357603738575,-1.3481145699908288,-1.3429349860916213,-1.2790272534952127,-1.288331247564004,-1.3178150224611391,1.0299157978626288,1.2256304534977271,-1.3543760975480224,-1.3839775286801257,-1.2868015390845378,-1.2528378393245199,-1.338730862367809,-1.3070986500716153,1.149324733421053,-0.7152416558042638,-1.0743593301280436,-1.0371120076814446,-1.3093918095667234,-0.9358205739243379,-0.6027393669366127,-1.3646881525423207,0.8693920296064814,-1.3800794329094583,-1.1149122073439206,0.7476441675465116,-1.2889317819259174,-1.2458390402920632,-1.355548809831314,-0.9635197512855599,-1.197054675013007,-0.11541444754801021,-1.3612397340716083,-1.373791867360287,-1.1844232684775928,-1.3756332651990482,1.1920842733247372,-1.3675847654355138,-1.320115556968664,-1.265720607936779,0.9308108077072843,-1.2911352417024435,-1.026862182763602,-1.0704988452747486,-1.378831784166005,0.24080739471479926,-1.3609049738767613,-0.5418000847031822,0.20783199327553728,-1.0270375986635616,-1.3543212416661805,-0.7125702186534604,-1.392475621716392,-1.2223676139226383,0.5472031059879215,-1.0251929404678146,0.2585391706975352,-1.236267191338318,0.9133243117039915,-1.3711084744760915
14,-1.298407458878367,-1.388299695886993,-1.375917899420737,-1.2999639390056672,-1.35464699265487,-1.2358363664498064,-1.324586360964224,-1.3422662954748699,-1.337109181200422,-1.273478687625263,-1.2827423199083277,-1.312098190832608,1.0254479058538177,1.2203135290265208,-1.348500659812513,-1.3779736765656165,-1.2812192474784347,-1.2474028861154611,-1.3329232954440522,-1.3014283072867951,1.1443388318525585,-0.7121388560560044,-1.0696986370154298,-1.032612897694999,-1.3037115187948891,-0.9317608777117015,-0.6001246149282247,-1.3587679799380006,0.8656205079833897,-1.374092491178283,-1.110075591232142,0.7444008020126035,-1.2833402490837955,-1.2404344486701684,-1.3496682847363817,-0.9593398928873936,-1.191861715522824,-0.11491376653217258,-1.3553345210992895,-1.3678322018044362,-1.179285105467313,-1.3696656114496908,1.186912876003063,-1.3616520269946224,-1.3143887453594747,-1.2602297678105048,0.9267728444309652,-1.2855341500009003,-1.0224075376848092,-1.065854899385026,-1.37285025487715,0.23976274481551466,-1.3550012131322873,-0.5394496942403482,0.20693039442264263,-1.02258219261062,-1.348446041901733,-0.7094790079037607,-1.3864349039066042,-1.217064844021052,0.5448292766035061,-1.0207455367521796,0.25741759833489997,-1.2309041234871418,0.9093622068385419,-1.3651604497841334
15,-1.288548069926013,-1.3777577149467353,-1.365469939002662,-1.2900927310030863,-1.3443605517519053,-1.2264521078066697,-1.3145281838916656,-1.3320738667467154,-1.326955912749079,-1.2638085939901904,-1.2730018833672851,-1.302134842025082,1.0176612209537454,1.2110471422353626,-1.3382608907656819,-1.3675101057115937,-1.271490376308021,-1.237930797711775,-1.322801812296698,-1.291545979680461,1.1356493549403857,-0.7067312669960911,-1.0615759365087272,-1.0247718058051027,-1.2938118537416963,-0.9246856003470119,-0.5955676001344478,-1.3484502465342003,0.8590474640479252,-1.3636583919019751,-1.1016462904409046,0.7387482335578394,-1.2735952721989137,-1.2310152747308083,-1.3394196493909196,-0.9520551957171717,-1.1828113760855332,-0.11404117487192489,-1.3450428594851351,-1.3574456397072079,-1.1703302658589791,-1.3592651274524625,1.1779001153191555,-1.351312393730733,-1.3044080033462624,-1.250660279153291,0.9197354434354276,-1.2757725138444496,-1.0146439396609956,-1.0577613860984598,-1.3624255884570535,0.2379421189855751,-1.3447120824747023,-0.5353534112751082,0.20535907932372965,-1.014817268353786,-1.3382066875931433,-0.7040916162613129,-1.3759070831664624,-1.2078231259491263,0.5406921440616892,-1.012994559045295,0.2554629113005564,-1.2215573175723025,0.9024570126065732,-1.3547941754957684
16,-1.2950423674367528,-1.3847016301233688,-1.3723519236432224,-1.2965948136239216,-1.3511361448310835,-1.2326334409339839,-1.321153421484032,-1.3387875347881657,-1.3336437862418564,-1.2701782042496454,-1.2794178279139203,-1.3086976170278775,1.022790245542169,1.2171508341540187,-1.3450057414813552,-1.3744023728164945,-1.2778987028412025,-1.2441699835719575,-1.3294687490740693,-1.2980553866918163,1.1413730411194243,-0.7102932009395242,-1.0669262917828812,-1.0299366678252666,-1.3003326807851163,-0.9293460267080519,-0.5985692678822816,-1.3552464517234457,0.8633770734257842,-1.3705312463237251,-1.1071986007727472,0.7424715333913748,-1.2800142074322776,-1.2372196062733838,-1.3461703402637675,-0.9568535651625489,-1.1887727594088795,-0.11461594374192528,-1.3518218914033577,-1.3642871817844247,-1.1762287442391826,-1.3661158397694324,1.1838367458301589,-1.3581230241756965,-1.310982235108999,-1.256963621750477,0.9243709209470928,-1.282202422401455,-1.0197577571160215,-1.0630925159934355,-1.369292229534862,0.2391413500791554,-1.3514894472728805,-0.5380515987990006,0.20639409151208865,-1.0199319593874734,-1.3449512651241862,-0.7076402463338263,-1.3828416711370377,-1.2139105687875729,0.5434172388619615,-1.0181000636025122,0.2567504473946043,-1.2277139808989497,0.907005406622527,-1.3616223541620032
17,-1.2838321256032423,-1.3727152731274481,-1.3604724690928869,-1.2853711333905338,-1.3394403398795183,-1.2219634278808265,-1.30971715520703,-1.3271986227911243,-1.3220993999426491,-1.2591831934304432,-1.2683428363787725,-1.2973691716096332,1.0139366927273856,1.2066148427904837,-1.3333630029821435,-1.3625051690158814,-1.2668368612692287,-1.2334001070424025,-1.3179605030413828,-1.2868190633374632,1.1314930031106887,-0.7041447082295981,-1.0576906852497223,-1.0210212536196497,-1.289076644548657,-0.9213013526739275,-0.5933878881716325,-1.3435150668283729,0.8559034447399765,-1.3586675520554974,-1.0976143860902936,0.7360444962124377,-1.2689340534724916,-1.2265098941155208,-1.334517520678162,-0.9485707783329879,-1.1784824164416143,-0.11362379670517148,-1.340120150441431,-1.3524775378509732,-1.1660469857067988,-1.3542903664710444,1.1735891303498875,-1.3463667388807201,-1.2996340134102016,-1.2460829999808294,0.9163693127926108,-1.2711033266528866,-1.0109304543525641,-1.0538900956747321,-1.3574392605356973,0.23707127698024544,-1.3397905840385034,-0.5333940766258981,0.2046074876626426,-1.011103148681388,-1.3333089981872595,-0.701514718326408,-1.370871414456104,-1.2034026260495314,0.538713270237214,-1.0092871102886478,0.25452794512091237,-1.2170865520407728,0.8991541191216673,-1.349835777707148
18,-1.2876295937660336,-1.3767756502143895,-1.3644966329883859,-1.289173153809775,-1.3434022924940479,-1.2255778936049118,-1.3135911891246834,-1.3311243654293072,-1.3260100595056887,-1.2629077521112964,-1.2720944885181749,-1.301206681223485,1.0169358327496132,1.210183908682253,-1.3373069793418948,-1.3665353454679194,-1.2705840588600819,-1.2370484015079082,-1.321858920093195,-1.2906253666125123,1.1348398648771483,-0.7062275094449387,-1.0608192459261654,-1.0240413491810785,-1.292889625560307,-0.9240264851000006,-0.5951430799670231,-1.3474890721447719,0.8584351356184051,-1.3626863771572013,-1.1008610377381802,0.7382216543353902,-1.2726874543826605,-1.2301378079068692,-1.3384649120047976,-0.9513765714417878,-1.1819682689667204,-0.1139598864025068,-1.3440841138788042,-1.3564780534078387,-1.169496055266777,-1.3582962442235054,1.1770605089435704,-1.3503491792047915,-1.303478222236871,-1.2497688093839858,0.919079856656789,-1.2748631440918796,-1.0139207021728514,-1.0570074145247534,-1.36145445245371,0.2377725140101427,-1.3437535726459922,-0.534971811739246,0.20521269951610244,-1.0140939073170712,-1.3372528148053398,-0.7035897402513518,-1.3749263375631509,-1.2069621904725631,0.5403067390808433,-1.012272497234496,0.2552808175166574,-1.2206865923735886,0.901813741881304,-1.3538284791582282
19,-1.280249191983317,-1.3688842833861978,-1.3566756467114518,-1.2817839046897856,-1.335702214208778,-1.2185531581416917,-1.306061981345588,-1.3234946614467369,-1.318409669568663,-1.255669050336955,-1.2648031304472687,-1.2937484586443528,1.0111069864189055,1.2032474080610376,-1.3296418380138617,-1.3587026737518721,-1.2633013582305666,-1.2299579196861192,-1.3142823235489807,-1.2832277937369878,1.128335219284668,-0.7021795729926036,-1.0547388697902964,-1.0181717756362776,-1.2854790744642943,-0.9187301741492998,-0.5917318543555387,-1.3397655693622974,0.853514779457023,-1.3548757668575113,-1.0945511511024724,0.7339903346763246,-1.26539269756545,-1.2230869360455685,-1.3307931336684737,-0.9459234959782398,-1.1751934940146456,-0.11330669409251701,-1.336380127547472,-1.3487030278165844,-1.1627927682244792,-1.3505107971734696,1.170313864162625,-1.342609282935132,-1.2960069796980969,-1.2426054170595024,0.9138118986622159,-1.2675559167130366,-1.008109137889086,-1.050948886944872,-1.353650903267963,0.23640965570463507,-1.3360514809022928,-0.5319054742364587,0.20403646670763226,-1.0082813502605696,-1.329587983936187,-0.6995569228958074,-1.3670455705770677,-1.2000441560119062,0.5372098229804118,-1.0064703800888863,0.2538176055729316,-1.2136898927434236,0.8966447493538858,-1.3460686403276774
